City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Iqaluit,CA,2021-10-18 21:28:44,63.7506,-68.5145,35.33,87,90,18.99
1,Bambous Virieux,MU,2021-10-18 21:25:51,-20.3428,57.7575,74.21,78,75,12.66
2,Bengkulu,ID,2021-10-18 21:28:44,-3.8004,102.2655,73.26,95,100,3.65
3,Jamestown,US,2021-10-18 21:28:44,42.097,-79.2353,55.33,59,20,8.01
4,Mayachnyy,RU,2021-10-18 21:28:45,52.6839,55.685,50.54,32,100,11.92
5,Tadine,NC,2021-10-18 21:28:45,-21.55,167.8833,72.3,94,100,10.04
6,Meulaboh,ID,2021-10-18 21:27:56,4.1363,96.1285,77.86,84,100,2.82
7,Te Anau,NZ,2021-10-18 21:28:45,-45.4167,167.7167,51.1,81,99,5.14
8,Edmundston,CA,2021-10-18 21:28:46,47.3737,-68.3251,49.33,68,90,5.75
9,Tazovskiy,RU,2021-10-18 21:28:46,67.4667,78.7,35.37,90,100,11.86
10,Torbay,CA,2021-10-18 21:28:46,47.6666,-52.7314,44.58,93,90,19.57
11,Puerto Narino,CO,2021-10-18 21:28:47,-3.7703,-70.3831,85.95,92,100,2.53
12,Hobart,AU,2021-10-18 21:28:47,-42.8794,147.3294,51.03,83,75,1.01
13,Thompson,CA,2021-10-18 21:28:47,55.7435,-97.8558,51.96,62,40,12.66
14,Atuona,PF,2021-10-18 21:28:47,-9.8,-139.0333,77.58,78,29,19.69
15,East London,ZA,2021-10-18 21:26:03,-33.0153,27.9116,57.15,73,35,4.88
16,Barrow,US,2021-10-18 21:28:48,71.2906,-156.7887,12.22,85,90,6.91
17,Gawler,AU,2021-10-18 21:28:48,-34.6,138.7333,56.25,75,0,7.94
18,Kalemie,CD,2021-10-18 21:28:49,-5.9475,29.1947,71.83,86,100,6.69
19,Albany,US,2021-10-18 21:28:49,42.6001,-73.9662,51.17,74,68,4.0
20,Shimoda,JP,2021-10-18 21:28:49,34.6667,138.95,55.51,92,100,17.6
21,Taltal,CL,2021-10-18 21:28:50,-25.4,-70.4833,63.18,63,23,5.39
22,Arraial Do Cabo,BR,2021-10-18 21:28:35,-22.9661,-42.0278,69.76,94,90,8.05
23,Beringovskiy,RU,2021-10-18 21:28:50,63.05,179.3167,33.37,91,52,9.53
